symbol,name
SLB,SLB
SNA,SNA
SNPS,SNPS
SO,SO
SPG,SPG
SPGI,SPGI
SRE,SRE
STE,STE
STT,STT
STX,STX
STZ,STZ
SWK,SWK
SWKS,SWKS
SYF,SYF
SYK,SYK
SYY,SYY
T,T
TAP,TAP
TDG,TDG
TECH,TECH
TEL,TEL
TER,TER
TFC,TFC
TFX,TFX
TGT,TGT
TJX,TJX
TMO,TMO
TMUS,TMUS
TPR,TPR
TRMB,TRMB
TROW,TROW
TRV,TRV
TSCO,TSCO
TSLA,TSLA
TSN,TSN
TT,TT
TTWO,TTWO
TWTR,TWTR
TXN,TXN
TXT,TXT
TYL,TYL
UA,UA
UAA,UAA
UAL,UAL
UDR,UDR
UHS,UHS
ULTA,ULTA
UNM,UNM
UPS,UPS
URI,URI
USB,USB
V,V
VFC,VFC
VIAC,VIAC
VLO,VLO
VMC,VMC
VNO,VNO
VRSK,VRSK
VRSN,VRSN
VRTX,VRTX
VTR,VTR
VTRS,VTRS
VZ,VZ
WAB,WAB
WAT,WAT
WBA,WBA
WDC,WDC
WEC,WEC
WELL,WELL
WFC,WFC
WHR,WHR
WLTW,WLTW
WMB,WMB
WMT,WMT
WRB,WRB
WRK,WRK
WST,WST
WU,WU
WY,WY
WYNN,WYNN
XEL,XEL
XLNX,XLNX
XOM,XOM
XRAY,XRAY
XYL,XYL
YUM,YUM
ZBH,ZBH
ZBRA,ZBRA
ZION,ZION
ZTS,ZTS
